                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0248,                 3.5947,                 1.0144,                0.00553,                0.70175,                0.49012,                0.39717,                0.78456,                 3.4324,                0.83874,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 1.0811,                 3.2483,                 1.0408,                0.00777,                0.77193,                0.53191,                 0.4209,                0.77521,                 3.3599,                0.83321,             0.00018516,             0.00018516,             0.00018516
                      3,                 1.1713,                   2.73,                 1.0883,                0.00762,                0.77193,                0.52701,                0.40872,                0.80385,                 3.3444,                 0.8379,             0.00028391,             0.00028391,             0.00028391
                      4,                 1.1849,                 2.5422,                 1.1876,                0.00759,                0.78947,                0.51122,                0.39627,                0.84821,                 3.2961,                0.86042,             0.00038201,             0.00038201,             0.00038201
                      5,                 1.2122,                 2.1658,                 1.0964,                      1,                0.18955,                0.64742,                0.46507,                0.99569,                 2.9895,                0.90815,             0.00047945,             0.00047945,             0.00047945
                      6,                 1.0667,                 2.2206,                 1.1559,                0.89714,                   0.25,                0.67018,                0.49372,                0.98061,                 2.8205,                0.90312,             0.00057622,             0.00057622,             0.00057622
                      7,                 1.0937,                 2.1451,                 1.0439,                0.89714,                   0.25,                0.67018,                0.49372,                0.98061,                 2.8205,                0.90312,             0.00067234,             0.00067234,             0.00067234
                      8,                 1.0125,                 1.8582,                 1.0826,                0.85984,                 0.3287,                0.64453,                 0.4775,                0.96621,                 2.6754,                0.89252,             0.00076779,             0.00076779,             0.00076779
                      9,                  1.086,                 1.8761,                 0.9849,                0.89894,                 0.3287,                 0.5742,                0.44928,                0.98985,                 2.6729,                0.89781,             0.00086259,             0.00086259,             0.00086259
                     10,                 1.0902,                 2.0063,                 1.0651,                0.89894,                 0.3287,                 0.5742,                0.44928,                0.98985,                 2.6729,                0.89781,             0.00095673,             0.00095673,             0.00095673
                     11,                0.98229,                 1.9251,                0.99309,                0.37719,                0.38928,                0.49926,                0.35948,                 1.0449,                 2.5737,                0.96026,              0.0010502,              0.0010502,              0.0010502
                     12,                0.99813,                 2.1785,                 1.0051,                0.37719,                0.38928,                0.49926,                0.35948,                 1.0449,                 2.5737,                0.96026,               0.001143,               0.001143,               0.001143
                     13,                 1.1327,                 2.1747,                  1.156,                0.32844,                0.49245,                0.51748,                0.30026,                 1.2102,                 2.4398,                 1.0968,              0.0012352,              0.0012352,              0.0012352
                     14,                 1.2779,                 2.1962,                 1.1147,                0.32844,                0.49245,                0.51748,                0.30026,                 1.2102,                 2.4398,                 1.0968,              0.0013267,              0.0013267,              0.0013267
                     15,                 1.1293,                 1.9214,                 1.0784,                0.56694,                0.73514,                0.69798,                0.43232,                 1.2009,                 1.9871,                 1.1227,               0.001363,               0.001363,               0.001363
                     16,                 1.0766,                 1.7653,                 1.0519,                0.56694,                0.73514,                0.69798,                0.43232,                 1.2009,                 1.9871,                 1.1227,               0.001363,               0.001363,               0.001363
                     17,                 1.1917,                 1.8512,                 1.1753,                0.72332,                0.64433,                0.71525,                0.41156,                 1.2447,                  1.861,                 1.2478,              0.0013583,              0.0013583,              0.0013583
                     18,                 1.1319,                 1.7586,                  1.138,                0.72332,                0.64433,                0.71525,                0.41156,                 1.2447,                  1.861,                 1.2478,              0.0013535,              0.0013535,              0.0013535
                     19,                 1.2273,                 1.9416,                 1.2412,                0.72332,                0.64433,                0.71525,                0.41156,                 1.2447,                  1.861,                 1.2478,              0.0013488,              0.0013488,              0.0013488
                     20,                 1.2109,                 1.8303,                 1.1727,                0.86021,                0.51834,                0.67445,                0.42994,                 1.2236,                 2.2588,                 1.1878,              0.0013441,              0.0013441,              0.0013441
                     21,                 1.2788,                 1.8943,                 1.1924,                0.86021,                0.51834,                0.67445,                0.42994,                 1.2236,                 2.2588,                 1.1878,              0.0013394,              0.0013394,              0.0013394
                     22,                 1.2072,                 1.9847,                 1.2562,                0.97226,                0.52991,                0.69977,                0.44251,                 1.2106,                 2.1908,                 1.1816,              0.0013347,              0.0013347,              0.0013347
